date,city,country,confirmed,deaths,recovered,lat,long
3/11/20,Idaho,United States,0,0,0,44.2405,-114.4788
3/11/20,Maine,United States,0,0,0,44.6939,-69.3819
3/11/20,Mississippi,United States,0,0,0,32.7416,-89.6787
3/11/20,North Dakota,United States,0,0,0,47.5289,-99.784
3/11/20,West Virginia,United States,0,0,0,38.4912,-80.9545
3/11/20,Wyoming,United States,0,0,0,42.756,-107.3025
3/11/20,Abu Dhabi,United Arab Emirates,74,0,17,23.4241,53.8478
3/11/20,Quang Ha,Vietnam,38,0,16,16,108
3/10/20,Unknown,Afghanistan,5,0,0,33,65
3/10/20,Unknown,Albania,10,0,0,41.1533,20.1683
3/10/20,Unknown,Algeria,20,0,0,28.0339,1.6596
3/10/20,Unknown,Andorra,1,0,0,42.5063,1.5218
3/10/20,Unknown,Argentina,17,1,0,-38.4161,-63.6167
